Section,Item,Description,Unit,Quantity,SSR item,Rate (Rs),Amount (Rs),Status,Basis / note
C · REINFORCEMENT — ALL WORKS,R-T12,"Reinforcement T12 Fe500D, shelter and entry structures",t,20.318,26.33,89703,1822585.55,PRICED,"TMT Fe-500, cut, bent, hooked, tied and FIXED IN POSITION.  The SSR measures the fixed weight, which is the net weight scheduled here"
C · REINFORCEMENT — ALL WORKS,R-T16,"Reinforcement T16 Fe500D, shelter and entry structures",t,23.707,26.33,89703,2126589.02,PRICED,"TMT Fe-500, cut, bent, hooked, tied and FIXED IN POSITION.  The SSR measures the fixed weight, which is the net weight scheduled here"
C · REINFORCEMENT — ALL WORKS,R-T20,"Reinforcement T20 Fe500D, shelter and entry structures",t,10.923,26.33,89703,979825.87,PRICED,"TMT Fe-500, cut, bent, hooked, tied and FIXED IN POSITION.  The SSR measures the fixed weight, which is the net weight scheduled here"
C · REINFORCEMENT — ALL WORKS,R-T25,"Reinforcement T25 Fe500D, shelter and entry structures",t,15.439,26.33,89703,1384924.62,PRICED,"TMT Fe-500, cut, bent, hooked, tied and FIXED IN POSITION.  The SSR measures the fixed weight, which is the net weight scheduled here"
C · REINFORCEMENT — ALL WORKS,R-BS,Reinforcement T12 Fe500 to the burster slab (M30),t,1.218,26.33,89703,109258.25,PRICED,"TMT Fe-500, cut, bent, hooked, tied and FIXED IN POSITION.  The SSR measures the fixed weight, which is the net weight scheduled here"
C · REINFORCEMENT — ALL WORKS,R-S8,"Reinforcement T8 Fe500, sentry post",t,0.645,26.33,89703,57858.44,PRICED,"TMT Fe-500, cut, bent, hooked, tied and FIXED IN POSITION.  The SSR measures the fixed weight, which is the net weight scheduled here"
C · REINFORCEMENT — ALL WORKS,R-S10,"Reinforcement T10 Fe500, sentry post",t,0.245,26.33,89703,21977.24,PRICED,"TMT Fe-500, cut, bent, hooked, tied and FIXED IN POSITION.  The SSR measures the fixed weight, which is the net weight scheduled here"
C · REINFORCEMENT — ALL WORKS,R-S12,"Reinforcement T12 Fe500, sentry post",t,0.19,26.33,89703,17043.57,PRICED,"TMT Fe-500, cut, bent, hooked, tied and FIXED IN POSITION.  The SSR measures the fixed weight, which is the net weight scheduled here"
C · REINFORCEMENT — ALL WORKS,R-S16,"Reinforcement T16 Fe500, sentry post",t,0.624,26.33,89703,55974.67,PRICED,"TMT Fe-500, cut, bent, hooked, tied and FIXED IN POSITION.  The SSR measures the fixed weight, which is the net weight scheduled here"
C · REINFORCEMENT — ALL WORKS,R-S20,"Reinforcement T20 Fe500, sentry post",t,0.269,26.33,89703,24130.11,PRICED,"TMT Fe-500, cut, bent, hooked, tied and FIXED IN POSITION.  The SSR measures the fixed weight, which is the net weight scheduled here"
C · REINFORCEMENT — ALL WORKS,R-ORD,"Reinforcement ORDER quantity, all works, incl. 5 % wastage",t,77.33,—,,,INCLUDED — not separately payable,"PROCUREMENT MEMORANDUM, NOT A PAYABLE ITEM.  SSR 26.33 is paid on the weight fixed in position — 73.647 t, the sum of the twelve lines above.  77.33 / 1.05 = 73.648, so the two figures agree exactly.  Wastage is inside the SSR rate and must not be paid a second time"
D · FORMWORK AND FALSEWORK,F-01,"Formwork, shelter and entry structures, contact area",m2,1057.743,—,,,INCLUDED — not separately payable,"INCLUDED IN EVERY CONCRETE RATE ABOVE.  SSR items 24.04, 25.15, 25.17, 25.35, 25.54, 25.74, 25.76, 26.19 and 26.26 each read 'including STEEL CENTERING, FORMWORK, cover blocks'.  Paying F-01 separately would pay for the same formwork twice.  The quantity stands as a measured control figure"
D · FORMWORK AND FALSEWORK,F-02,"Falsework to the pressure slab soffit, 3.200 m height, props to remain 14 days (IS 456 Table 11)",m2,104.0,—,,,INCLUDED — not separately payable,"INCLUDED, as F-01.  The 14-day prop period remains a PROGRAMME driver even though it is not a separately payable item"
"E · ENGINEERED COVER, OVERBURDEN AND CONCEALMENT",B-screed,Protection screed 100 over the membrane (cover layer 1),m3,10.289,24.04,6359,65427.75,PRICED,"M15 bedding concrete.  THIS IS THE SAME WORK AS ITEM W-05, which is measured in m2 — 102.889 x 0.100 = 10.289.  Paid here ONCE"
"E · ENGINEERED COVER, OVERBURDEN AND CONCEALMENT",B-fill,Compacted engineered fill @ 95 % MDD,m3,77.167,21.37,599,46223.03,PRICED,As E-07
"E · ENGINEERED COVER, OVERBURDEN AND CONCEALMENT",B-rubble,Crushed basalt rubble 25-75 mm,m3,51.445,21.38,1382,71096.99,PRICED,"Trap rubble stone soling, hand packed and compacted.  SEE THE CREDIT LINE BELOW — this material is to be won from the project's own rock excavation"
"E · ENGINEERED COVER, OVERBURDEN AND CONCEALMENT",B-rubble-cr,"  CREDIT if the rubble is won on site and crushed, as the quantity derivation directs",m3,51.445,21.38,,,INCLUDED — not separately payable,"MEMORANDUM, NOT DEDUCTED.  994 m3 of basalt comes out of E-02b against 51.4 m3 needed.  The SSR labour component of 21.38 is Rs 432 against the completed Rs 1 382, so winning it on site is worth about 51.445 x (1382 - 432) = Rs 48 873, and removes 51 m3 of import AND 51 m3 of cart-away.  Left in the bill at the full SSR rate because the crushing plant is not in the project record"
"E · ENGINEERED COVER, OVERBURDEN AND CONCEALMENT",B-burster,"RC burster slab M30, T12 @ 150 B/W, 200 thk",m3,20.578,25.15,7471,153738.24,PRICED,"Ground-supported: it is cast on the 500 crushed-rubble layer, and its own formwork measure is EDGE ONLY, 11.3 m2.  So the raft item 25.15 governs, not the suspended-slab item 25.74 (M-30, Rs 14 299)"
"E · ENGINEERED COVER, OVERBURDEN AND CONCEALMENT",B-filter,"Granular filter, 150 thk",m3,15.433,21.39,2160,33335.28,PRICED [A] — stated assumption,[A] SSR 21.39 sand filling is the nearest published item and carries the condition 'to be executed with prior approval of the Superintending Engineer'.  The project specifies no filter grading — no gradation is invented here
"E · ENGINEERED COVER, OVERBURDEN AND CONCEALMENT",B-concealment,"Topsoil / turf — concealment and erosion, 300 thk",m3,30.867,21.36,120,3704.04,PRICED,"Filling with APPROVED EXCAVATED MATERIAL, watered and compacted — exactly the 92.82 m3 stripped and stockpiled at E-01a, of which 30.867 is used.  TURFING ITSELF IS NOT IN THE SSR: the schedule directs Parks and Gardens wing rates for that, which this project does not hold"
"E · ENGINEERED COVER, OVERBURDEN AND CONCEALMENT",B-berm,"Berm forming and grading, 1.5:1 to +0.900 against the headhouse and covered stairwell",m3,,21.36,,,NOT PRICED,"NOT PRICED.  NO QUANTITY EXISTS — no site plan and no ground model is in the project (Drainage open item D3).  A rate is available (SSR 21.36, Rs 120/m3) the moment a quantity does"
"E · ENGINEERED COVER, OVERBURDEN AND CONCEALMENT",B-camo,Camouflage and concealment measures beyond the 300 topsoil / turf layer,item,,—,,,NOT PRICED,NOT PRICED and NOT IN THE SSR.  No concealment specification exists in the project.  SSR General Notes Section B: rates not in the schedule are to be approved by the Superintending Engineer
F · WATERPROOFING,W-01,"WP-01 tanking, horizontal on blinding under the mat",m2,142.08,51.114,678,96330.24,PRICED [A] — stated assumption,"[A] SPECIFICATION SUBSTITUTION.  WP-01 is a continuous external tanking MEMBRANE (FINISH_LEGEND).  SSR 51.114 is a five-layer polymeric membrane on a 90 micron HMHDPE core — the material matches; the SSR describes it applied to roof and parapet, not below grade.  The SSR's own below-grade item, 31.12, is a rough shahabad BOX treatment at Rs 1 286 — a different specification, carried in the workbook as the alternative"
F · WATERPROOFING,W-02,"WP-01 tanking, vertical to external wall faces, (-)6.700 to (-)2.000",m2,265.08,51.114,678,179724.24,PRICED [A] — stated assumption,"[A] As W-01.  SSR alternative for vertical basement faces is 31.13, Rs 1 338"
F · WATERPROOFING,W-03,"WP-01 tanking, roof membrane, net of the void and shafts",m2,121.881,51.114,678,82635.32,PRICED [A] — stated assumption,[A] As W-01
F · WATERPROOFING,W-04,"WP-01 upstands, fillets and dressing to openings and penetrations",m2,37.145,51.114,678,25184.31,PRICED [A] — stated assumption,[A] As W-01
F · WATERPROOFING,W-05,WP-02 protection screed 100 over the roof membrane (also cover layer 1),m2,102.889,—,,,INCLUDED — not separately payable,"THE SAME WORK AS B-screed, measured in m2 instead of m3.  Paid once, at B-screed.  102.889 x 0.100 = 10.289 m3"
F · WATERPROOFING,W-06,"WP-06 headhouse and stairwell roofs, external grade + protection",m2,41.44,51.114 + 51.115,1068.0,44257.92,PRICED [A] — stated assumption,[A] Membrane plus the SSR's own 20 mm mechanical protective layer
F · WATERPROOFING,W-08,"WP-04 internal wet-area tanking, floors",m2,26.8,31.09,615,16482.0,PRICED [A] — stated assumption,[A] Acrylic polymer modified cement-based coating with fibre glass mesh — the SSR's tanking-under-finish item.  WP-04 names no product
F · WATERPROOFING,W-09,"WP-04 internal wet-area tanking, walls, 2.000 high",m2,81.44,31.09,615,50085.6,PRICED [A] — stated assumption,[A] As W-08
F · WATERPROOFING,W-10,"Waterstops, 2 No. at every construction joint (WP-05), ~6 m centres",m,109.76,—,,,NOT PRICED,"NOT PRICED.  THE SSR HAS NO WATERSTOP ITEM ANYWHERE IN 624 PAGES — searched for waterstop, water stop, water bar and PVC water bar.  Section B: the rate is to be approved by the Superintending Engineer.  The joint positions are also not fixed in the project ([A] in WM1)"
G · SENTRY POST — CONCRETE AND FRAME  (M30),SC-01,"Sentry post: Footings F1, 4 No., 1500 x 1500 x 600",m3,5.4,25.15,7471,40343.4,PRICED,M-30 foundations and footings
G · SENTRY POST — CONCRETE AND FRAME  (M30),SC-02,"Sentry post: Columns C1, 4 No., 350 x 350, (-)1.400 to +6.700",m3,3.969,25.35,14150,56161.35,PRICED,M-30 columns.  No floor lift applied — a column is cast in one pour from its base
G · SENTRY POST — CONCRETE AND FRAME  (M30),SC-03,"Sentry post: Plinth beam PB 250 x 400, 15.200 m clear",m3,1.52,25.54,12635,19205.2,PRICED,"M-30 beams, ground level"
G · SENTRY POST — CONCRETE AND FRAME  (M30),SC-04.1,"Sentry post: Beams B1 / B2 250 x 450, first-floor level",m3,1.14,25.54,12761.35,14547.94,PRICED,Half of WM1 item SC-04 (2.28 m3 at two levels).  +1 % first-floor lift
G · SENTRY POST — CONCRETE AND FRAME  (M30),SC-04.2,"Sentry post: Beams B1 / B2 250 x 450, roof level",m3,1.14,25.54,12761.35,14547.94,PRICED,The other half.  +1 % floor lift
G · SENTRY POST — CONCRETE AND FRAME  (M30),SC-05,"Sentry post: Slab S1 150, first floor, 4.000 x 5.000",m3,3.0,25.74,14441.99,43325.97,PRICED,"M-30 slabs, +1 % first-floor lift"
G · SENTRY POST — CONCRETE AND FRAME  (M30),SC-06,"Sentry post: Slab S1 150, roof, 4.600 x 5.600 incl. the 300 projection",m3,3.864,25.74,14441.99,55803.85,PRICED,"M-30 slabs, +1 % floor lift.  The SSR table runs ground / first / second / third / fourth; the roof of a G+1 is read as the first-floor band"
G · SENTRY POST — CONCRETE AND FRAME  (M30),SC-07,Sentry post: Parapet 300 high x 150 thk over the roof projection,m3,0.918,26.19 der.,16092.65,14773.05,PRICED [A] — stated assumption,"[A] Pardi grade-uplifted M25 -> M30, +1 % floor lift.  The 150 thickness is [A] in WM1 and that tag is carried, not resolved"
G · SENTRY POST — CONCRETE AND FRAME  (M30),SC-08,"Sentry post ground floor slab on grade — PROVISIONAL, not designed",m2,16.56,—,,,NOT PRICED,NOT PRICED.  Thickness and specification are to be confirmed — WM1 tags this [N] and no rate can be chosen without them
G · SENTRY POST — CONCRETE AND FRAME  (M30),SC-09,"Sentry post: blinding / PCC M15 100 thk under F1, 4 No.",m3,1.156,24.04,6359,7351.0,PRICED,As C-09
G · SENTRY POST — CONCRETE AND FRAME  (M30),SC-10,"Sentry post: external spiral stair, 1000 R, 250 dia central pole",item,1,—,,,NOT PRICED,"NOT PRICED.  THE SSR HAS NO SPIRAL STAIR ITEM, and the fabrication detail is not in the project record.  SSR 40.06, SS 304 handrail at Rs 1 220/m, is the only related published item and cannot stand for the stair.  Section B: Superintending Engineer to approve the rate"
H · SENTRY POST — BRICK MASONRY AND FINISHES  (design change SP-B1),SP-01,"Brick masonry, ground storey, 190 thk in a 200 zone, CM 1:6, incl. scaffolding",m3,6.876,27.05,7994,54966.74,PRICED [A] — stated assumption,"[A] Mortar CM 1:6 and location (superstructure) match SSR 27.05 exactly.  SP-B1 specifies modular bricks CLASS 10 to IS 1077.  THE SSR PUBLISHES NO FIRST-CLASS ITEM FOR SUPERSTRUCTURE WALLS AT ALL — chapter 27 offers first class only in plinth (27.02) and in pillars (27.08, 27.09) — so 27.05 is the only published superstructure brick wall item and it governs whatever class the bricks are.  The SSR's first / second class is a workmanship grading and does not map onto IS 1077 strength classes.  OPEN ITEM WM4-V2"
H · SENTRY POST — BRICK MASONRY AND FINISHES  (design change SP-B1),SP-02,"Brick masonry, first storey, 190 thk in a 200 zone, CM 1:6, incl. scaffolding",m3,5.32,27.05,8073.94,42953.36,PRICED [A] — stated assumption,"[A] As SP-01, +1 % first-floor lift"
H · SENTRY POST — BRICK MASONRY AND FINISHES  (design change SP-B1),SP-03,"Modular burnt clay bricks class 10 to IS 1077, delivered",No.,6402.952,—,,,INCLUDED — not separately payable,"INCLUDED in SP-01 / SP-02 — SSR 27.05 is a composite supply-and-lay rate.  SSR general material rate for II class brick is Rs 8.50 each, so this quantity carries about Rs 54 425 of material INSIDE the masonry rate"
H · SENTRY POST — BRICK MASONRY AND FINISHES  (design change SP-B1),SP-04,Cement for masonry mortar CM 1:6,bag,14.458,—,,,INCLUDED — not separately payable,INCLUDED in SP-01 / SP-02.  SSR general rate Rs 6 000 / M.T. = Rs 300 / bag
H · SENTRY POST — BRICK MASONRY AND FINISHES  (design change SP-B1),SP-05,"Sand for masonry mortar, to IS 2116",m3,3.012,—,,,INCLUDED — not separately payable,"INCLUDED in SP-01 / SP-02.  SSR general rate, crushed sand, Rs 1 200 / m3"
H · SENTRY POST — BRICK MASONRY AND FINISHES  (design change SP-B1),SP-06,"RC lintels over openings, 200 x 150 — PROVISIONAL section",m3,0.51,25.54,12635,6443.85,PRICED [A] — stated assumption,"[A] M-30 beams and lintels.  THE SECTION IS SUPERSEDED: design revision SP-B2 (master A.4.8 / H.12) designs lintel L1 at 190 x 150, and WM_RECONCILIATION_REGISTER section 6 records that this bill line still measures the superseded 200 x 150.  WM4 does NOT re-measure it — the quantity is WM1's and stays WM1's.  OPEN ITEM WM4-V3"
H · SENTRY POST — BRICK MASONRY AND FINISHES  (design change SP-B1),SP-07,"Internal cement plaster 12 mm, CM 1:4",m2,125.15,32.04,278,34791.7,PRICED,"Thickness, mortar and location all match the SSR item exactly.  WM1's description says 'sand faced'; sand facing is an EXTERNAL finish in the SSR (32.11) and 12 mm internal CM 1:4 is 32.04.  Priced as internal"
H · SENTRY POST — BRICK MASONRY AND FINISHES  (design change SP-B1),SP-08,"External cement plaster 15 mm, two coat",m2,97.39,32.11,639,62232.21,PRICED,SSR 32.11 sand faced external: 15 mm base coat in CM 1:4 plus a finishing coat — the specified two-coat 15 mm work exactly
H · SENTRY POST — BRICK MASONRY AND FINISHES  (design change SP-B1),SP-09,"Flooring, ground and first floor, 3.600 x 4.600 each",m2,33.12,33.24,,,NOT PRICED,"NOT PRICED.  NO FLOORING SPECIFICATION EXISTS IN THE PROJECT (WM1 tags it [N]).  For information only, and NOT in the total: SSR 33.24 matt ceramic 300 x 300 is Rs 1 182 / m2, which would be Rs 39 147"
H · SENTRY POST — BRICK MASONRY AND FINISHES  (design change SP-B1),SP-10.1,"Painting, INTERNAL — plastic emulsion, two coats",m2,125.15,36.12,80,10012.0,PRICED [A] — stated assumption,"[A] WM1 item SP-10 is one 222.54 m2 line for internal and external together.  It splits EXACTLY on the two plaster areas — 125.15 + 97.39 = 222.54 — so the split is arithmetic, not judgement.  The paint SYSTEM is assumed: WM1 records the specification as not in the project"
H · SENTRY POST — BRICK MASONRY AND FINISHES  (design change SP-B1),SP-10.2,"Painting, EXTERNAL — exterior acrylic emulsion, two coats",m2,97.39,35.25,261,25418.79,PRICED [A] — stated assumption,[A] As SP-10.1
H · SENTRY POST — BRICK MASONRY AND FINISHES  (design change SP-B1),SP-11,"Door D1 900 x 2100, 2 No. (ground and first floor)",m2,3.78,39.10,2913,11011.14,PRICED [A] — stated assumption,[A] SHUTTER ONLY — the SSR bills the frame as a separate item and no frame specification exists.  The door TYPE is not in the project either; a 32 mm commercial flush shutter is assumed.  Height 2100 is [A] in WM1
H · SENTRY POST — BRICK MASONRY AND FINISHES  (design change SP-B1),SP-12,"Window W1 1200 wide, ground storey, 1 No.",No.,1,39.50,,,NOT PRICED,"NOT PRICED.  THE HEIGHT IS NOT STATED ANYWHERE IN THE PROJECT ([N] in WM1), so there is no area to price.  SSR 39.50 aluminium openable window is Rs 5 700 / m2 when a height exists"
H · SENTRY POST — BRICK MASONRY AND FINISHES  (design change SP-B1),SP-13,"Armoured vision panels 1200 wide, 8 No., first storey — SPECIALIST",No.,8,—,,,NOT PRICED,NOT PRICED and NOT IN THE SSR.  An armoured vision panel is not a schedule item.  Specification is not in the project either
I · ELECTRICAL AND EMP INSTALLATION,EL-01,"Conduits, boxes and concealed work, cast into RC — builder's work",item,,—,,,NOT PRICED,"NOT PRICED.  NO ELECTRICAL DESIGN PACKAGE EXISTS — no quantity, and for EL-03 and EL-07 no SSR item either.  The SSR's water-supply and sanitary chapters 41-43 hold no EMP or shielding item of any kind"
I · ELECTRICAL AND EMP INSTALLATION,EL-02,"Cabling, distribution board and final circuits",item,,—,,,NOT PRICED,"NOT PRICED.  NO ELECTRICAL DESIGN PACKAGE EXISTS — no quantity, and for EL-03 and EL-07 no SSR item either.  The SSR's water-supply and sanitary chapters 41-43 hold no EMP or shielding item of any kind"
I · ELECTRICAL AND EMP INSTALLATION,EL-03,"EMP Zone 2 shielded enclosure, bay 3 — SPECIALIST",item,,—,,,NOT PRICED,"NOT PRICED.  NO ELECTRICAL DESIGN PACKAGE EXISTS — no quantity, and for EL-03 and EL-07 no SSR item either.  The SSR's water-supply and sanitary chapters 41-43 hold no EMP or shielding item of any kind"
