SSR item,SSR chapter,"Description (SSR wording, trimmed)",Unit,Completed rate 2022-23 excl. GST (Rs),Labour rate 2022-23 excl. GST (Rs),SSR printed page,PDF page,Use
27.05,Brick Work,"Providing second class burnt brick masonry with conventional / IS type bricks in cement mortar 1:6 in SUPERSTRUCTURE including striking joints, raking out joints, watering and scaffolding etc. complete",m3,7994,1705,197,204,USED
27.06,Brick Work,"Providing second class burnt brick masonry with conventional / IS type bricks in cement mortar 1:4 in HALF BRICK THICK WALL including mild steel longitudinal reinforcement of 2 bars of 6 mm dia / 2 hoop iron strips 25 x 1.6 mm at every third course, scaffolding etc. complete",m2,1119,203,197,204,USED
27.08,Brick Work,"Providing FIRST class burnt brick masonry with conventional / IS type bricks in cement mortar 1:4 including scaffolding, racking out joints, pointing in CM 1:3 and watering etc. IN PILLARS of rectangular or square shape.  NOTE: the SSR publishes NO first-class item for superstructure WALLS — 27.08 and 27.09 are both pillar items",m3,9525,2704,197,204,reference
31.09,Water Proofing,Providing and applying waterproofing treatment using acrylic polymer modified cement based waterproofing coating with fibre glass mesh etc. complete,m2,615,316,206,213,USED
31.12,Water Proofing,Providing and fixing 20 to 25 mm thick rough shahabad box type waterproofing FOR BASEMENT OR UNDERGROUND FLOOR on a base of cement concrete 1:3:6 ... with 7 years guarantee ... with ponding test etc. complete (excluding cement concrete 1:3:6 base concrete),m2,1286,393,206,213,reference
31.13,Water Proofing,Providing and fixing 20 to 25 mm thick rough shahabad box type waterproofing treatment TO VERTICAL OUTSIDE FACES OF REINFORCED CEMENT CONCRETE WALLS OF BASEMENT or underground floor ... with 7 years guarantee ... with ponding test etc. complete,m2,1338,509,207,214,reference
32.04,Plastering and Pointing,"Providing INTERNAL cement plaster 12 mm thick in single coat in cement mortar 1:4 without neeru finish to concrete or brick surfaces, in all positions, including scaffolding and curing etc. complete",m2,278,204,209,216,USED
32.11,Plastering and Pointing,"Providing SAND FACED plaster EXTERNALLY in cement mortar using approved screened sand, in all positions, including base coat of 15 mm thick in cement mortar 1:4 and a finishing coat, including scaffolding and curing etc. complete",m2,639,412,209,216,USED
32.15,Plastering and Pointing,Providing NEERU FINISH to plastered surfaces in all positions including scaffolding and curing etc. complete,m2,65,56,210,217,USED
33.24,"Paving, Flooring and Dado","Providing and laying matt finish ceramic tiles 30 cm x 30 cm conforming to IS 15622, on a bed of cement mortar, including cement float, filling joints, curing etc. complete",m2,1182,355,216,223,USED
35.25,Oil Painting,"Providing and applying two coats of EXTERIOR ACRYLIC EMULSION paint conforming to the corresponding IS, of approved make, colour and shade, including scaffolding and preparing the surface etc. complete",m2,261,172,226,233,USED
36.12,Colouring,"Providing and applying PLASTIC EMULSION paint of approved quality, colour and shade to old and new surfaces in TWO coats including scaffolding and preparing the surface etc. complete",m2,80,24,228,235,USED
39.10,Doors and Windows,"Providing and fixing solid core FLUSH DOOR SHUTTER, commercial, single leaf, 32 mm thick, without ventilator, with necessary fixtures and fastenings etc. complete.  SHUTTER ONLY — the frame is a separate item",m2,2913,851,246,253,USED
39.50,Doors and Windows,"Providing and fixing in position ALUMINIUM OPENABLE WINDOW of any size as per detailed drawing, with all necessary aluminium sections, fixtures and fastenings, with 5 mm thick clear float glass etc. complete, with colour anodising (section weight 6.90 kg/m2 considered)",m2,5700,1809,256,263,USED
40.06,Iron Work,"Providing and fixing 40 mm diameter and 1.5 mm thick STAINLESS STEEL HAND RAILING in SS 304 grade including fabrication, fixtures, erection etc. complete",m,1220,286,264,271,reference
51.114,Water Proofing (new items 2019-20),"Providing and laying Hyperplas standard or equivalent POLYMERIC MULTIPLE MONOLITHIC FIVE LAYER waterproofing flexible, pliable, high tensile strength MEMBRANE (3 kg/m2) with a centre core of 90 micron thick high molecular high density polyethylene film (HMHDPE) protected on both sides with polymeric mix, applied by thermofusing after a primer, 10 cm overlapping, with a 7 year guarantee.  (Prior written permission of the Superintending Engineer is necessary before inclusion in an estimate)",m2,678,115,382,389,USED
51.115,Water Proofing (new items 2019-20),"Providing and laying mechanical protective layer over waterproofing membrane with cement screed plaster 1:5 after laying chicken mesh over the membrane, 20 mm thick, including the cost of chicken mesh, curing, and a 7 year guarantee",m2,390,193,383,390,USED
