# BAR BENDING SCHEDULE - MASTER. Generated from rebar_data.py.
"# UNDERGROUND CBRN-HARDENED BLAST-RESISTANT PROTECTIVE STRUCTURE - PUNE, MAHARASHTRA. Package rev SC1, 04.09.2026"
"# M35 / Fe500D. SENTRY POST EXCLUDED. Units mm, m, kg."
BAR MARK,ELEMENT,LOCATION,DIA,SHAPE,SPACING,A,B,C,No.,CUT LENGTH,TOTAL LENGTH,WEIGHT,DRAWING,REMARKS
W02,PERIMETER WALLS 600,"VERTICAL, INTERNAL FACE",T16,00,150,3875,,,360,3875,1395.0,2201.8,R-201 / R-203 / R-204,
W03,PERIMETER WALLS W1 / W2,"HORIZONTAL, EACH FACE",T16,00,150,11350,,,176,11350,1997.6,3152.9,R-201 / R-203,"22 layers x 2 faces x 2 walls, in 2 pieces"
W04,PERIMETER WALLS W3 / W4,"HORIZONTAL, EACH FACE",T16,21,150,640,6100,640,88,7380,649.4,1025.0,R-201 / R-203,legs turn Ld 640 into W1 and W2 at every corner
W05,PERIMETER WALLS 600,"CLOSED LINKS, 200 x 200 GRID",T12,51,200 x 200,500,150,,4320,1540,6652.8,5906.5,R-201 / R-204,ties the two curtains
W06,PERIMETER WALLS 600,"HAUNCH DIAGONALS, WALL/ROOF + WALL/MAT",T20,00,150,2307,,,720,2307,1661.0,4096.4,R-103 / R-204 / R-304 / R-803,"500 x 500 haunch, both junctions"
W07,WALLS W6 / W7 400,"VERTICAL, SHAFT FACE",T20,00,150,3875,,,66,3875,255.8,630.7,R-202 / R-204,MOD M1
W08,WALLS W6 / W7 400,"VERTICAL, ROOM FACE",T20,00,150,3875,,,66,3875,255.8,630.7,R-202 / R-204,MOD M1
W09,WALLS W6 / W7 400,"HORIZONTAL, SHAFT FACE",T20,21,150,800,5000,800,44,6600,290.4,716.2,R-202 / R-203,Ld 800 into W1 and W2
W10,WALLS W6 / W7 400,"HORIZONTAL, ROOM FACE",T20,21,150,800,5000,800,44,6600,290.4,716.2,R-202 / R-203,
W11,WALLS W6 / W7 400,4-LEGGED LINKS @ 200 (2 CLOSED LINKS/NODE),T12,51,200 x 200,300,150,,1600,1140,1824.0,1619.4,R-202 / R-204,PBR-2
W12,WALLS W6 / W7 400,HAUNCH DIAGONALS,T20,00,150,2307,,,132,2307,304.5,751.0,R-202 / R-304,
W13,BLAST DOORS 1 AND 2,"JAMB BARS, 4-T20 EACH JAMB EACH FACE",T20,00,—,3700,,,32,3700,118.4,292.0,R-205 / R-703,"1257 mm2 provided vs 1256 required - EXACT, not generous"
W14,BLAST DOORS 1 AND 2,JAMB LINKS @ 150,T12,51,150,300,200,,96,1240,119.0,105.7,R-205 / R-703,
W15,BLAST DOORS 1 AND 2,"REVEAL U-BARS, BOTH FACES",T16,21,150,640,300,640,88,1580,139.0,219.5,R-205 / R-703,closes the reveal around the full opening perimeter
W16,WALL W5 200,"VERTICAL, EACH FACE",T12,00,150,3875,,,66,3875,255.8,227.1,R-202,minimum steel governs
W17,WALL W5 200,"HORIZONTAL, EACH FACE",T12,21,150,480,5000,480,44,5960,262.2,232.8,R-202,
S01A,ROOF SLAB 900,"BOTTOM, TRANSVERSE (Y) - MAIN ZONES",T25,00,150,6050,,,127,6050,768.4,2960.7,R-301 / R-302,X 0-15200 and X 18000-22000; stair void deducted
S01B,ROOF SLAB 900,"BOTTOM, TRANSVERSE - CANTILEVER PAD",T25,00,150,2365,,,18,2365,42.6,164.0,R-301 / R-302,"X 15200-18000, Y 3760-6200 only - the void interrupts the rest"
S02A,ROOF SLAB 900,"BOTTOM, LONGITUDINAL (X) - FULL LENGTH BANDS",T25,00,150,11550,,,40,11550,462.0,1780.3,R-301 / R-302,"Y 0-600 and Y 3760-6200; 2 pieces, laps 1250 staggered"
S02B,ROOF SLAB 900,"BOTTOM, LONGITUDINAL - WEST OF THE VOID",T25,00,150,8188,,,42,8188,343.9,1325.2,R-301,"Y 600-3760, X 0-15200; 2 pieces"
S02C,ROOF SLAB 900,"BOTTOM, LONGITUDINAL - EAST OF THE VOID",T25,00,150,3925,,,21,3925,82.4,317.6,R-301,"Y 600-3760, X 18000-22000"
S03A,ROOF SLAB 900,"TOP, TRANSVERSE (Y) - MAIN ZONES",T25,00,150,6050,,,127,6050,768.4,2960.7,R-301 / R-302,continuous over both supports
S03B,ROOF SLAB 900,"TOP, TRANSVERSE - CANTILEVER PAD",T25,00,150,2365,,,18,2365,42.6,164.0,R-301 / R-302 / R-303,"*** THE CANTILEVER STEEL - FINDING F2, M(root) 758.6 > midspan 700.2 ***"
S03C,ROOF SLAB 900,"TOP, TRANSVERSE - STRIP OVER W1 AT THE VOID",T25,00,150,525,,,18,525,9.4,36.4,R-301 / R-303,continuity only
S04A,ROOF SLAB 900,"TOP, LONGITUDINAL (X) - FULL LENGTH BANDS",T25,00,150,11550,,,40,11550,462.0,1780.3,R-301 / R-302,"2 pieces, laps 1250 staggered"
S04B,ROOF SLAB 900,"TOP, LONGITUDINAL - WEST OF THE VOID",T25,00,150,8188,,,42,8188,343.9,1325.2,R-301,2 pieces
S04C,ROOF SLAB 900,"TOP, LONGITUDINAL - EAST OF THE VOID",T25,00,150,3925,,,21,3925,82.4,317.6,R-301,
S05,ROOF SLAB 900,"4-LEGGED LINKS @ 250, END 1500 EACH SIDE",T12,51,250 x 250,750,150,,1848,2040,3769.9,3347.0,R-301 / R-302,PBR-2; Cl. 26.5.1.5 limit 300 governs the 409 required
S06,ROOF SLAB 900,"2-LEGGED LINKS @ 300, MID ZONE",T12,51,300 x 300,750,150,,384,2040,783.4,695.5,R-301 / R-302,PBR-2
S07,ROOF CANTILEVER PAD,4-LEGGED LINKS @ 250 THROUGHOUT THE PAD,T12,51,250 x 250,750,150,,154,2040,314.2,278.9,R-301 / R-303,NEW REQUIREMENT FROM FINDING F2
S08,ESCAPE SHAFT OPENINGS,"TRIMMERS, 5-T25 EACH SIDE/FACE/DIRECTION",T25,00,—,3400,,,80,3400,272.0,1048.1,R-301 / R-303,2454 mm2 provided vs 2291 required; Ld 1000 beyond the opening
S09,ESCAPE SHAFT COLLARS,"HOOPS, 3 LAYERS EACH FACE",T16,00,150,5984,,,12,5984,71.8,113.3,R-303,mean collar diameter 1650; lap 800
S10,ESCAPE SHAFT COLLARS,RADIAL BARS,T16,00,150,1880,,,136,1880,255.7,403.6,R-303,
S11,ESCAPE SHAFT THICKENING,CLOSED LINKS @ 150 IN THE 1200 ANNULUS,T12,51,150,1050,150,,68,2640,179.5,159.4,R-303,slab thickened 900 -> 1200 over a 600 annulus
S12,STAIR VOID FREE EDGE,6-T25 TOP + 6-T25 BOTTOM IN THE 1200 THICKENING,T25,00,—,4800,,,12,4800,57.6,222.0,R-301 / R-303,edge thickened 900 -> 1200
S13,STAIR VOID FREE EDGE,CLOSED LINKS @ 150,T12,51,150,1050,500,,18,3340,60.1,53.4,R-303,
S14,BAND OVER W6 AND W7,"6-T25 EACH FACE, TOP AND BOTTOM, 900 BAND",T25,00,—,6050,,,24,6050,145.2,559.5,R-301 / R-303,
S15,STAIR VOID RE-ENTRANT CORNERS,4-T25 EACH FACE AT 45 DEG,T25,00,—,4000,,,16,4000,64.0,246.6,R-301 / R-303,"2000 long each way; the crack initiators - mandatory, not decorative"
S16,BAND BENEATH HEADHOUSE WALL HW3,"4-T25 TOP AND BOTTOM, 1200 BAND",T25,00,—,7500,,,8,7500,60.0,231.2,R-301 / R-304 / R-701,"HW3 has NO wall beneath it - detailed as a LINE LOAD, not a support"
B01,BLAST-DOOR HEADER 400 x 1100,"TOP, 4-T20 (x2 HEADERS)",T20,00,—,2800,,,8,2800,22.4,55.2,R-401 / R-402 / R-703,"M = 48.2 kNm, V = 241 kN"
B02,BLAST-DOOR HEADER 400 x 1100,"BOTTOM, 4-T20 (x2 HEADERS)",T20,00,—,2800,,,8,2800,22.4,55.2,R-401 / R-402 / R-703,
B03,BLAST-DOOR HEADER 400 x 1100,4-LEGGED LINKS @ 150,T12,51,150,1020,320,,72,2920,210.2,186.7,R-402 / R-703,PBR-2
ST01,"MAIN STAIR FLIGHT, WAIST 200",MAIN BARS (x3 FLIGHTS),T12,21,150,600,2296,600,24,3496,83.9,74.5,R-601 / R-602,"FROZEN GEOMETRY 24R @ 170.8333 / 280, 3 flights x 8. Leff 3160, util 52 %"
ST02,"MAIN STAIR FLIGHT, WAIST 200",DISTRIBUTION (x3 FLIGHTS),T10,00,200,1140,,,36,1140,41.0,25.3,R-601 / R-602,
ST03,"MAIN STAIR FLIGHT, WAIST 200","TOP STEEL, 800 INTO THE FLIGHT",T12,00,150,1280,,,48,1280,61.4,54.5,R-601 / R-602 / R-604,"0.25 Leff each end, anchored Ld 480"
ST04,"MAIN STAIR LANDINGS L1 / L2, 200",BOTTOM MAIN,T12,00,125,3200,,,20,3200,64.0,56.8,R-601 / R-602,"T12 @ 150 gives exactly 100 % - TOO TIGHT; @ 125 adopted, util 84 %"
ST05,"MAIN STAIR LANDINGS L1 / L2, 200","TOP, 900 FROM EACH SUPPORT",T12,00,125,1380,,,40,1380,55.2,49.0,R-601 / R-602 / R-604,
ST06,"MAIN STAIR LANDINGS L1 / L2, 200",DISTRIBUTION,T10,00,200,1140,,,30,1140,34.2,21.1,R-601 / R-602,
H01A,HEADHOUSE ROOF 500,"BOTTOM, MAIN (SPANNING 4000 IN X)",T20,00,150,4650,,,38,4650,176.7,435.8,R-701,util 90 %
H01B,HEADHOUSE ROOF 500,"BOTTOM, SECONDARY (Y)",T20,00,150,5650,,,32,5650,180.8,445.9,R-701,
H01C,HEADHOUSE ROOF 500,"TOP, MAIN (X)",T20,00,150,4650,,,38,4650,176.7,435.8,R-701,"continuous over every support, Ld 800"
H01D,HEADHOUSE ROOF 500,"TOP, SECONDARY (Y)",T20,00,150,5650,,,32,5650,180.8,445.9,R-701,
H02,HEADHOUSE ROOF 500,"4-LEGGED LINKS @ 175, END 1200 EACH SIDE",T12,51,175 x 175,350,150,,672,1240,833.3,739.8,R-701,SHEAR NEW AND MANDATORY - not in the Phase 1 report
H03,HEADHOUSE ROOF 500,"4-LEGGED LINKS @ 250, MID ZONE",T12,51,250 x 250,350,150,,240,1240,297.6,264.2,R-701,
H04A,HEADHOUSE WALLS 400,"VERTICAL, EACH FACE",T16,00,150,3825,,,260,3825,994.5,1569.7,R-701 / R-702,SYMMETRICAL - 383 kPa acts on EITHER FACE (C10)
H04B,HEADHOUSE WALLS 400,"HORIZONTAL RINGS, EACH FACE",T16,00,150,10200,,,68,10200,693.6,1094.7,R-701 / R-702,2 pieces
H05,HEADHOUSE WALLS 400,"4-LEGGED LINKS @ 250, ALL FOUR WALLS",T12,51,250 x 250,300,150,,1404,1140,1600.6,1421.0,R-701,Cl. 26.5.1.5 limit 256 governs
H06,HEADHOUSE WALL / ROOF,"HAUNCH DIAGONALS, 300 x 300",T16,00,150,1704,,,130,1704,221.5,349.6,R-701 / R-304,
H07,HEADHOUSE SECURITY DOOR 900 x 2100,"JAMB BARS, 2-T20 EACH JAMB EACH FACE",T20,00,—,3700,,,8,3700,29.6,73.0,R-702 / R-703,628 mm2 provided vs 603 required. NOT blast rated
H08,HEADHOUSE DOOR-HEAD EDGE BAND 400 x 800,4-T20 TOP + 4-T20 BOTTOM,T20,00,—,3700,,,8,3700,29.6,73.0,R-402 / R-702 / R-703,only 300 mm of wall above the door - the 300 wall and 500 roof act TOGETHER
H09,HEADHOUSE DOOR-HEAD EDGE BAND,4-LEGGED LINKS @ 150,T12,51,150,720,320,,28,2320,65.0,57.7,R-402 / R-702,PBR-2
H10,PRESSURE SLAB / HEADHOUSE WALLS,"WALL STARTERS, EACH FACE",T16,11,150,600,1735,,260,2335,607.1,958.2,R-701 / R-803,cast into the 900 pressure slab; 150 kicker + 800 lap
E01,"ENTRY STAIRWELL FLIGHT, WAIST 250",MAIN BARS,T16,21,200,750,3775,750,8,5275,42.2,66.6,R-603 / R-702,12R @ 166.6667 / 300; Leff 4800; util 75 %
E02,"ENTRY STAIRWELL FLIGHT, WAIST 250",DISTRIBUTION,T10,00,200,1440,,,19,1440,27.4,16.9,R-603,
E03,"ENTRY STAIRWELL FLIGHT, WAIST 250","TOP, 1200 INTO THE FLIGHT",T16,00,200,1840,,,16,1840,29.4,46.5,R-603 / R-604,anchored Ld 640
E04A,ENTRY STAIRWELL SIDE WALLS 250,"VERTICAL, EACH FACE",T12,00,200,3500,,,136,3500,476.0,422.6,R-603 / R-702,MINIMUM STEEL GOVERNS - 31 % utilised
E04B,ENTRY STAIRWELL SIDE WALLS 250,"HORIZONTAL, EACH FACE",T12,00,200,6700,,,60,6700,402.0,356.9,R-603 / R-702,
E05A,ENTRY STAIRWELL RAKING ROOF 250,"TRANSVERSE, EACH FACE",T12,00,200,1900,,,68,1900,129.2,114.7,R-603 / R-702,20 kPa imposed taken deliberately - a stray vehicle on the berm
E05B,ENTRY STAIRWELL RAKING ROOF 250,"LONGITUDINAL, EACH FACE",T12,00,200,6700,,,20,6700,134.0,119.0,R-603 / R-702,
E06,ENTRY STAIRWELL TOP LANDING 250,"BOTH WAYS, EACH FACE",T12,00,200,1900,,,32,1900,60.8,54.0,R-603 / R-702,1500 x 1500 at 0.000
E07,ENTRY STAIRWELL PLATFORM 250,"BOTH WAYS, EACH FACE",T12,00,200,1900,,,32,1900,60.8,54.0,R-702,*** C16 OPEN - roof/platform junction not resolved ***
E08A,ENTRY STAIRWELL HEADWALL 250,"VERTICAL, EACH FACE",T12,00,200,3500,,,20,3500,70.0,62.1,R-702,
E08B,ENTRY STAIRWELL HEADWALL 250,"HORIZONTAL, EACH FACE",T12,00,200,1900,,,30,1900,57.0,50.6,R-702,
E09A,ENTRY STAIRWELL STEPPED RAFT 300,"LONGITUDINAL, EACH FACE",T12,00,200,6700,,,20,6700,134.0,119.0,R-702 / R-804,MOVEMENT JOINT where the raft meets the headhouse
E09B,ENTRY STAIRWELL STEPPED RAFT 300,"TRANSVERSE, EACH FACE",T12,00,200,1900,,,66,1900,125.4,111.3,R-702 / R-804,
E10,ENTRY DOOR LINTEL 250 x 350,3-T12 TOP + 3-T12 BOTTOM,T12,00,—,1960,,,6,1960,11.8,10.4,R-402 / R-702,over 1000 clear
E11,ENTRY DOOR LINTEL 250 x 350,LINKS @ 150,T8,51,150,290,190,,13,1120,14.6,5.7,R-402 / R-702,
E12,ENTRY STAIRWELL OPENING CORNER,U-BAR ACROSS THE CORNER,T16,21,200,640,500,640,8,1780,14.2,22.5,R-604 / R-702,SP 34 Cl. 5.5 - MAIN BARS SHALL NOT BE BENT ROUND THE 209 DEG CORNER

FABRIC
MARK,ELEMENT,LOCATION,SPEC,AREA m2,DRAWING,REMARKS
W18,W8 PARTITIONS 110 (x4),A252 MESH BOTH FACES,A252 FABRIC,112.9,R-202,NON-STRUCTURAL. Shown for completeness; no load path assumed

TOTAL BAR REINFORCEMENT kg,70456.7
