Group,Resource,Composition,Peak,No. of activities,Driven by,Activities
Plant,Tipper,10 t,4,5,Spoil haulage; peak during rock excavation,A2015;A2040;A2045;A2050;A2055
Plant,Dozer/grader,1 No.,1,4,"Berm, regrading, access",A13010;A13015;A13025;A2020
Plant,Vibratory roller,1 No.,1,5,Backfill and cover compaction to 95 % MDD,A13010;A13015;A13025;A2020;A7010
Plant,Plate compactor,2 No.,2,5,Confined backfill in 250 layers,A5070;A7010;A7025;A8045;A8060
Plant,Concrete pump,boom pump,1,8,112 m3 continuous pour to the pressure slab,A3075;A3125;A3145;A4075;A5035;A5060;A5085;A7040
Plant,Transit mixer,6 m3,4,4,Peak on the pressure slab pour,A3075;A3125;A3145;A4075
Plant,Crane,20 t mobile,1,6,"Blast doors, filter trains, EMP enclosure, spiral stair",A11030;A5135;A5140;A8170;A9040;A9050
Plant,Dewatering pumps,duty + standby,2,2,Continuous through the substructure; GWT (-)2.000 is ASSUMED,A2065;A2070
Plant,Scaffolding,tube and fitting,1,8,"Slab falsework, masonry, plaster; IS 3696 / IS 4014",A4010;A5045;A8070;A8100;A8135;A8150;A8185;A8205
Plant,Welding set,2 No.,2,13,EMP straps and blast door frames welded to the reinforcement cage,A11020;A11025;A3105;A3155;A4060;A4115;A5020;A5130;A5135;A5140;A8170;A8195;A9015
