Group,Reference,Title,Used for,Class
Construction,IS 13311 (Parts 1 and 2):1992,Non-destructive testing of concrete — ultrasonic pulse velocity; rebound hammer,NDT of the pressure slab and protective walls.,[C]
Construction,IS 14687:1999,Falsework for concrete structures — guidelines,Falsework to the pressure slab soffit at 3.200 m.,[C]
Construction,IS 9077:1979,Corrosion protection of steel reinforcement in RB and RCC construction,Reinforcement protection in a very severe exposure environment.,[C]
Construction,IS 2720 (Part 8):1983,Methods of test for soils — determination of water content–dry density relation using heavy compaction,MDD for the backfill and the engineered cover.,[C]
Construction,IS 2720 (Part 28):1974,Methods of test for soils — determination of dry density of soils in place by the sand replacement method,Field density testing of every compacted layer.,[C]
SENTRY POST masonry,IS 1077:1992,Common burnt clay building bricks — specification,"Class designation 10 modular bricks, 190 x 90 x 90, for the sentry post walls. DESIGN CHANGE SP-B1.",[C]
SENTRY POST masonry,IS 2212:1991,Code of practice for brickwork,"Laying, bond, joint filling, soaking, lift heights and curing.",[C]
SENTRY POST masonry,IS 1905:1987,Code of practice for structural use of unreinforced masonry,"Infill panel proportions, slenderness and the frame interface.",[C]
SENTRY POST masonry,IS 2250:1981,Code of practice for preparation and use of masonry mortars,"CM 1:6 preparation, gauge boxes, working time.",[C]
SENTRY POST masonry,IS 3495 (Parts 1 to 4):1992,"Methods of tests of burnt clay building bricks — compressive strength, water absorption, efflorescence, warpage",Brick acceptance testing before order and on delivery.,[C]
SENTRY POST masonry,IS 5454:1978,Method for sampling of clay building bricks,Sample size and selection for the IS 3495 tests.,[C]
SENTRY POST masonry,IS 1661:1972,Code of practice for application of cement and cement-lime plaster finishes,Sentry post internal and external plaster.,[C]
SENTRY POST masonry,IS 2395 (Part 1):1994,"Code of practice for painting concrete, masonry and plaster surfaces",Sentry post painting.,[C]
SENTRY POST masonry,IS 2571:1970,Code of practice for laying in-situ cement concrete flooring,Sentry post flooring.,[C]
Waterproofing,IS 3067:1988,Code of practice for general design details and preparatory work for damp-proofing and waterproofing of buildings,"Substrate preparation, fillets, terminations for WP-01.",[C]
Waterproofing,IS 6494:1988,Code of practice for waterproofing of underground water reservoirs and swimming pools,Principles applied to the buried envelope and the sump pit.,[C]
Drainage,IS 2470 (Part 1):1985,Code of practice for installation of septic tanks — design criteria and construction,"Septic tank ST-01; Cl. 6.2, 6.3, 6.5, 6.6, 6.9 and Table 1.",[C] master Part G
Drainage,IS 2470 (Part 2):1985,Code of practice for installation of septic tanks — secondary treatment and disposal,Cl. 4 — the PERCOLATION TEST IS MANDATORY before the soak pits are built.,[C] master Part G
Electrical,IS 732:2019,Code of practice for electrical wiring installations,"Wiring, distribution and testing.",[C]
Electrical,IS 3043:2018,Code of practice for earthing,Earthing installation and the 5 ohm target.,[C] master Part G
Electrical,IEEE 142,Recommended practice for grounding of industrial and commercial power systems,"Earthing target, cited alongside IS 3043.",[C] master Part G
Electrical,IS 694:2010,PVC insulated cables for working voltages up to and including 1100 V,Final circuit cabling.,[C]
Electrical,IS 1554 (Part 1):1988,PVC insulated (heavy duty) electric cables for working voltages up to and including 1100 V,Sub-mains and generator cabling.,[C]
Electrical,IS 3646 (Part 1):1992,Code of practice for interior illumination,Internal lighting levels.,[C]
Protective,MIL-STD-188-125-1,High-altitude electromagnetic pulse protection for ground-based C4I facilities,"EMP requirement: 80 dB over 10 kHz to 1 GHz; §5.4 access, §5.5 waveguide below cutoff, §5.7.2.1 power PCI, §5.7.4.1 fibre, §5.7.6 RF.",[C] master Part G
Protective,IEEE Std 299,Standard method for measuring the effectiveness of electromagnetic shielding enclosures,The shielding effectiveness survey at handover.,[C] master Part G
Protective,EN 1822,"High efficiency air filters (EPA, HEPA and ULPA)",H14 classification of the CBRN filter train HEPA stage.,[C] master Part G
Protective,FEMA 453,Safe rooms and shelters,Shelter ventilation criteria and carbon adsorber performance.,[C] master Part G
Protective,UFC 3-340-02,Structures to resist the effects of accidental explosions,"Cited AS US criteria: §4-27 opening trimmers, §4-30 direct shear.",[C] master Part G
Safety,IS 3764:1992,Code of safety for excavation work,The 6.8 m deep excavation and its edge protection.,[C]
Safety,IS 3696 (Part 1):1987,Safety code for scaffolds and ladders — scaffolds,"Masonry, plaster and slab-edge scaffolding.",[C]
Safety,IS 3696 (Part 2):1991,Safety code for scaffolds and ladders — ladders,Access into the excavation and to working platforms.,[C]
Safety,IS 4014 (Part 2):1967,Code of practice for steel tubular scaffolding — safety regulations,"Erection, alteration and dismantling of tubular scaffold.",[C]
Safety,IS 7969:1975,Safety code for handling and storage of building materials,"Reinforcement, brick, cement and aggregate handling.",[C]
Safety,IS 4082:1996,Recommendations on stacking and storage of construction materials and components at site,Site stacking discipline.,[C]
Safety,IS 13416 (Parts 1 to 5),Recommendations for preventive measures against hazards at work places,"General site safety, falling material, fire and excavation.",[C]
Safety,IS 5216 (Part 1):1982,Guide for safety procedures and practices in electrical work,Electrical safety and permit-to-work.,[C]
Life safety,NBC 2016 Part 4,Fire and life safety,"Stair geometry, 1100 guarding and means of escape.",[C] master Part G
Measurement,IS 1200 (Part 1):1992,Methods of measurement of building and civil engineering works — earthwork,"Measurement of excavation, filling and disposal.",[C]
Measurement,IS 1200 (Part 2):1974,Methods of measurement — concrete works,Measurement of all concrete.,[C]
Measurement,IS 1200 (Part 3):1976,Methods of measurement — brickwork,"SENTRY POST brick masonry, measured at its actual 190 thickness.",[C]
Measurement,IS 1200 (Part 5):1982,Methods of measurement — formwork,Formwork contact area.,[C]
Measurement,IS 1200 (Part 12):1976,Methods of measurement — plastering and pointing,Sentry post plaster.,[C]
Measurement,IS 1200 (Part 13):1994,"Methods of measurement — whitewashing, colour washing, distempering and painting of buildings",Painting.,[C] / edition to confirm
Government,Maharashtra PWD State Schedule of Rates 2022-23 (SSR 2022-23),"Government of Maharashtra, Public Works Department, State Schedule of Rates for the year 2022-23, approved by Government Circular RADASU-2022/PR.KR.12/NIYOJAN-3 dated 25.07.2022, effective 25.07.2022.  624 pages.  Supplied by the project owner.","THE RATE SOURCE FOR THE PRICED BILL (revision WM4).  Item numbers ARE quoted, each with the SSR page it was read from — see Cost/WM4_SSR_RATE_LIBRARY.csv.  Also governs the recapitulation heads, the excavation depth increases, the floor-lift increases and the cement-consumption rule used where the schedule stops publishing a grade.",[C] — read from the supplied PDF and verified item by item
Government,"MES Standard Schedule of Rates (SSR), Part I — Rates and Part II — Specifications","The Military Engineer Services schedule governing measurement, specification and rates for Service works.","Measurement conventions and specification clauses.  NO ITEM NUMBER IS QUOTED because none could be verified from the material available.  SUPERSEDED AS THE RATE SOURCE by Maharashtra SSR 2022-23 (WM4, 15 Sep 2026), which the owner supplied and which can be cited item by item.  The MES SSR entry is kept because the MEASUREMENT and SPECIFICATION role is unchanged.",[N] — To be verified against the applicable MES SOR/SSR/specification edition.
Government,Defence Works Procedure (DWP),"The procedure governing the sanction, execution and acceptance of defence works.","Approvals, sanction stages, acceptance of works and handover to the user Service.",[N] — edition and clause To be verified against the applicable MES SOR/SSR/specification edition.
Government,MES Regulations (MESR),Standing regulations of the Military Engineer Services.,"Contract administration, measurement, and the Engineer's authority.",[N] — edition and clause To be verified against the applicable MES SOR/SSR/specification edition.
Government,"CPWD Specifications 2019, Volumes 1 and 2",Central Public Works Department specifications for building works.,"Workmanship clauses for earthwork, concrete, brickwork, plaster, flooring and painting where the MES SSR defers to them.",[C] document exists / [N] clause numbers — To be verified against the applicable MES SOR/SSR/specification edition.
Government,CPWD Works Manual,Central Public Works Department procedure for the execution of works.,"Quality control, measurement books and inspection procedure.",[C] document exists / [N] clause numbers — To be verified against the applicable MES SOR/SSR/specification edition.
Government,Delhi Schedule of Rates (DSR),"CPWD schedule of rates, formerly listed as the comparator where an MES SSR item was not available.","Rate comparison only. NO ITEM NUMBER IS QUOTED.  NOT USED: WM4 prices the bill from Maharashtra SSR 2022-23, which is the schedule that applies at Pune, and no DSR rate appears anywhere in this package.",[N] — To be verified against the applicable MES SOR/SSR/specification edition.
